,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Customer Type_Loyal Customer,Customer Type_disloyal Customer,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_neutral or dissatisfied,satisfaction_satisfied
8721,66,406,2,4,4,3,3,4,4,3,3,2,4,5,5,3,0,0.0,0,1,1,0,0,1,0,1,0,1,0
8723,35,725,5,1,5,4,4,3,3,3,3,5,3,4,3,3,0,0.0,1,0,1,0,0,1,1,0,0,0,1
8724,55,342,5,5,5,5,2,4,5,5,5,5,5,5,5,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8728,56,547,4,3,4,2,1,3,5,5,5,4,5,5,5,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8731,40,455,4,5,4,3,5,4,5,5,3,5,5,4,5,5,0,0.0,1,0,1,0,0,1,0,1,0,0,1
8732,40,2753,1,1,1,1,2,4,4,4,4,4,4,3,4,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8734,29,2565,2,2,1,2,5,4,5,5,3,5,5,3,4,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8736,66,361,2,4,2,4,4,2,4,4,4,3,5,5,4,4,0,0.0,0,1,1,0,0,1,0,1,0,1,0
8740,38,1471,3,4,3,3,3,3,3,3,5,5,4,4,4,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8742,23,89,4,1,4,3,3,4,4,3,4,1,3,2,4,3,0,0.0,1,0,0,1,1,0,0,1,0,1,0
8744,67,2828,3,3,3,3,1,2,2,3,3,3,3,3,3,4,0,0.0,1,0,1,0,1,0,1,0,0,1,0
8745,29,2300,4,4,4,4,5,5,5,5,3,4,4,4,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8746,40,436,2,1,2,2,1,4,4,2,2,2,2,4,2,3,0,0.0,0,1,1,0,1,0,1,0,0,1,0
8747,12,871,1,4,4,4,1,1,1,1,2,4,4,2,3,1,0,0.0,0,1,1,0,1,0,1,0,0,1,0
8748,66,668,1,5,1,3,3,4,5,5,5,1,5,4,5,4,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8751,59,1788,3,3,1,3,5,5,4,5,5,5,5,3,5,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8752,41,323,5,2,2,2,5,5,5,5,5,4,4,4,5,5,0,0.0,1,0,1,0,1,0,0,1,0,0,1
8753,34,689,3,4,3,3,2,3,2,2,3,5,5,4,4,2,0,0.0,0,1,1,0,0,1,0,1,0,1,0
8755,34,1068,1,1,3,1,1,1,1,1,4,2,4,3,3,1,0,0.0,0,1,1,0,1,0,0,1,0,1,0
8757,44,430,4,5,5,5,4,4,4,4,3,5,5,5,3,4,0,0.0,0,1,1,0,1,0,0,0,1,0,1
8761,30,3101,2,4,4,4,2,3,2,2,2,1,2,3,2,2,0,0.0,1,0,1,0,1,0,1,0,0,1,0
8764,51,1172,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8765,47,3178,2,2,2,2,5,5,5,5,5,5,5,3,5,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8766,38,507,5,5,5,2,5,5,4,5,4,4,4,5,5,5,0,0.0,1,0,0,1,1,0,1,0,0,0,1
8767,55,1379,2,1,2,4,5,2,5,5,4,3,3,3,3,5,0,0.0,0,1,1,0,0,1,0,1,0,1,0
8769,18,189,0,4,0,1,1,0,1,1,4,4,5,5,4,1,0,0.0,1,0,1,0,0,1,0,1,0,0,1
8770,44,1859,2,2,4,2,5,5,5,5,5,5,5,3,5,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8772,22,102,1,5,1,3,4,1,4,4,4,3,4,5,4,4,0,0.0,0,1,0,1,1,0,0,1,0,1,0
8773,21,993,4,4,4,3,5,4,5,5,5,3,5,4,4,5,0,0.0,0,1,0,1,1,0,0,1,0,0,1
8775,40,2927,3,3,3,3,3,5,4,4,4,4,4,4,4,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8777,36,337,2,5,3,4,5,3,5,5,3,3,4,3,5,5,0,0.0,0,1,1,0,0,1,0,1,0,1,0
8778,49,399,5,4,4,4,2,2,4,5,5,5,5,2,5,5,0,0.0,1,0,1,0,1,0,0,1,0,0,1
8780,25,942,4,4,4,4,5,5,5,5,4,5,4,4,4,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8785,54,3064,5,5,5,5,2,4,4,5,5,5,5,5,5,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8786,39,304,1,5,5,5,1,1,1,1,3,5,3,4,4,1,0,0.0,0,1,1,0,1,0,0,1,0,1,0
8787,49,3080,3,1,2,1,5,3,3,3,3,3,3,3,3,3,0,0.0,1,0,1,0,1,0,1,0,0,1,0
8788,36,634,3,3,3,1,1,3,1,1,3,2,5,5,4,1,0,0.0,0,1,0,1,1,0,1,0,0,1,0
8790,8,874,4,4,4,5,3,4,3,3,5,4,5,5,5,3,0,0.0,0,1,1,0,0,1,0,0,1,1,0
8792,33,3433,3,3,3,3,2,2,2,2,5,1,1,5,2,2,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8793,66,1491,2,1,1,1,2,2,2,2,2,2,4,2,3,2,0,0.0,0,1,1,0,1,0,0,0,1,1,0
8794,57,1389,4,4,4,4,2,5,5,3,3,4,3,3,3,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8795,56,290,2,4,2,3,3,4,5,2,2,2,2,5,2,5,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8799,39,296,5,5,5,2,3,5,2,3,5,2,4,5,4,3,0,0.0,0,1,0,1,1,0,1,0,0,0,1
8800,22,247,3,2,3,2,3,3,1,3,3,2,1,3,1,3,0,0.0,1,0,1,0,1,0,0,1,0,1,0
8802,50,502,3,2,2,2,5,3,4,3,3,3,3,3,3,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0
8803,45,282,3,4,4,3,1,3,1,1,5,5,1,2,4,1,0,0.0,0,1,0,1,1,0,1,0,0,1,0
8805,44,109,3,1,4,1,3,3,3,3,3,1,2,3,1,3,0,0.0,0,1,1,0,1,0,0,1,0,0,1
8815,54,666,5,5,5,5,5,4,5,4,4,4,4,4,4,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8816,34,458,3,5,3,2,1,3,1,1,3,5,5,4,4,1,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8820,45,3269,0,0,0,3,2,2,1,3,3,3,3,5,3,1,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8821,40,3051,3,3,3,3,2,5,5,4,4,5,4,4,4,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8823,52,2139,2,4,2,3,4,2,4,4,5,5,5,4,5,4,0,0.0,0,1,1,0,0,1,0,1,0,1,0
8826,44,2552,5,2,2,2,5,5,5,1,5,4,2,5,2,5,0,0.0,0,1,1,0,1,0,0,1,0,0,1
8827,39,1065,3,5,3,3,2,3,2,2,3,2,4,4,5,2,0,0.0,0,1,1,0,0,1,0,1,0,1,0
8831,27,451,2,4,2,3,1,2,1,1,3,2,4,4,3,1,0,0.0,1,0,0,1,1,0,0,1,0,1,0
8832,28,1355,2,4,2,4,4,2,4,4,4,5,2,3,4,4,0,0.0,1,0,1,0,0,1,0,0,1,1,0
8833,48,362,2,5,2,3,4,5,5,5,5,2,5,4,5,4,0,0.0,1,0,1,0,0,1,0,0,1,1,0
8834,36,1009,4,4,4,3,1,4,1,1,5,4,4,3,5,1,0,0.0,0,1,1,0,0,1,0,1,0,0,1
8835,53,1416,2,2,2,2,2,5,4,5,5,5,5,4,5,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8836,18,1436,2,2,2,2,4,4,4,4,5,3,5,5,4,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8838,23,432,4,1,4,3,2,4,2,2,3,3,2,4,3,2,0,0.0,1,0,0,1,1,0,0,1,0,1,0
8846,34,692,2,2,2,3,1,2,5,1,2,4,2,4,3,1,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8847,55,695,4,5,5,5,5,4,5,4,4,4,4,4,4,4,0,0.0,1,0,1,0,1,0,0,1,0,0,1
8850,36,259,3,4,4,4,3,4,3,3,3,5,4,2,2,3,0,0.0,0,1,1,0,1,0,0,1,0,0,1
8856,34,1194,5,3,3,3,5,5,5,5,4,2,2,2,1,5,0,0.0,1,0,1,0,1,0,0,0,1,0,1
8857,15,1608,1,4,1,4,1,1,1,1,3,3,2,2,4,1,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8858,59,408,2,2,2,2,5,5,5,5,5,5,5,5,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8864,30,888,3,3,3,3,1,3,1,1,4,2,5,5,5,1,0,0.0,0,1,0,1,1,0,1,0,0,1,0
8865,40,2323,5,5,5,5,2,4,4,5,5,5,5,5,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8866,65,293,4,1,4,4,4,4,4,4,2,2,1,2,5,4,0,0.0,0,1,1,0,1,0,0,1,0,0,1
8867,33,447,2,2,2,2,5,5,5,5,3,4,5,5,4,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8871,33,600,2,4,1,1,3,1,3,3,4,4,4,4,5,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8872,42,577,4,4,4,4,4,5,5,5,5,5,5,5,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8876,45,581,3,4,4,4,2,3,4,3,3,3,3,3,3,2,0,0.0,1,0,1,0,1,0,0,0,1,1,0
8877,52,334,3,1,3,4,1,4,4,5,5,3,5,4,5,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8881,44,3308,1,1,1,1,1,4,4,3,3,3,1,3,3,4,0,0.0,1,0,1,0,1,0,1,0,0,1,0
8882,29,2601,1,1,1,1,5,5,5,5,5,3,4,4,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8884,34,1558,2,2,1,2,3,3,4,2,2,2,2,3,2,4,0,0.0,1,0,1,0,1,0,1,0,0,1,0
8886,41,599,4,5,5,5,5,4,5,5,3,3,3,4,4,5,0,0.0,0,1,1,0,1,0,0,1,0,1,0
8892,53,515,4,2,2,4,2,2,2,2,3,4,3,4,3,2,0,0.0,0,1,1,0,0,1,0,1,0,1,0
8893,49,848,5,5,2,5,1,1,5,4,4,4,4,3,4,2,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8894,26,1072,1,1,1,3,1,1,1,1,4,3,5,4,5,1,0,0.0,0,1,0,1,1,0,1,0,0,1,0
8895,38,2946,4,4,4,4,3,5,4,5,5,5,5,4,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8899,42,728,5,5,3,5,5,5,5,5,2,4,1,5,1,5,0,0.0,0,1,1,0,1,0,0,1,0,0,1
8904,39,700,1,1,1,1,5,5,5,4,4,5,4,5,4,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8905,21,679,4,0,4,4,5,4,5,5,4,3,5,3,5,5,0,0.0,0,1,0,1,1,0,1,0,0,0,1
8910,45,3304,4,4,5,4,2,3,2,5,5,5,5,4,5,2,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8912,35,1008,2,5,2,1,1,2,1,1,4,4,4,3,5,1,0,0.0,0,1,1,0,0,1,0,1,0,1,0
8918,21,1242,2,4,3,4,3,3,3,3,5,4,4,5,4,3,0,0.0,0,1,1,0,0,1,0,1,0,1,0
8923,21,862,0,0,0,1,2,0,2,2,3,5,4,5,5,2,0,0.0,1,0,0,1,1,0,1,0,0,0,1
8924,30,1046,4,5,4,1,5,4,5,5,3,5,5,4,5,5,0,0.0,0,1,1,0,0,1,0,1,0,1,0
8926,59,224,4,4,4,4,3,4,2,4,4,4,4,2,4,3,0,0.0,1,0,1,0,1,0,0,1,0,0,1
8928,42,1773,1,1,1,1,5,5,4,4,4,4,4,5,4,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8930,27,531,2,2,2,1,1,2,1,1,5,5,4,4,5,1,0,0.0,1,0,0,1,1,0,1,0,0,1,0
8932,75,175,4,2,2,2,5,4,1,4,4,4,4,3,4,5,0,0.0,1,0,1,0,1,0,0,0,1,0,1
8938,32,1487,2,1,5,1,2,2,2,2,2,4,3,2,3,2,0,0.0,1,0,1,0,1,0,1,0,0,1,0
8941,22,2565,1,4,1,1,5,1,5,5,4,1,5,2,3,5,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8942,22,113,4,3,4,3,2,4,2,2,3,2,3,4,2,2,0,0.0,0,1,0,1,1,0,0,1,0,1,0
8947,65,240,1,4,1,3,5,1,5,5,3,5,3,2,4,5,0,0.0,1,0,0,1,1,0,0,1,0,1,0
8948,33,163,3,3,3,3,5,5,5,5,5,5,4,2,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8949,46,3286,0,4,0,2,5,5,4,5,5,5,5,5,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8951,41,2047,1,1,1,1,4,5,4,4,4,4,4,3,4,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8956,60,332,0,0,0,3,2,4,4,5,5,5,5,4,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8964,59,990,3,3,3,3,3,3,3,3,3,2,4,3,4,3,0,0.0,0,1,1,0,1,0,0,1,0,1,0
8965,28,2578,5,5,5,5,5,5,5,5,4,2,5,3,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8966,66,1535,3,5,3,1,2,4,4,3,3,3,3,3,3,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8969,53,188,5,1,1,1,5,1,4,5,5,5,5,3,5,4,0,0.0,1,0,1,0,1,0,0,1,0,0,1
8971,25,544,2,0,2,5,1,2,1,1,5,3,4,5,4,1,0,0.0,1,0,0,1,1,0,1,0,0,1,0
8979,26,228,1,4,1,3,4,1,4,4,4,3,3,2,4,4,0,0.0,1,0,0,1,1,0,0,1,0,1,0
8982,48,3020,4,4,4,4,4,4,5,4,4,4,4,3,4,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
8985,34,239,2,4,2,4,1,2,1,1,4,3,3,2,2,1,0,0.0,1,0,0,1,1,0,0,1,0,1,0
8986,40,787,2,4,2,3,4,2,4,4,4,2,4,3,4,4,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8988,48,1015,4,2,4,3,3,4,3,3,2,3,3,3,3,3,0,0.0,0,1,1,0,0,1,0,1,0,1,0
8989,53,328,0,0,0,3,3,4,5,3,3,3,3,4,3,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
8991,29,328,2,5,2,1,5,2,5,5,5,5,5,5,4,5,0,0.0,1,0,1,0,0,1,0,1,0,1,0
8996,68,670,2,5,5,5,2,2,2,2,2,1,2,4,3,2,0,0.0,0,1,1,0,1,0,0,1,0,1,0
9000,37,3137,1,2,1,1,2,2,2,5,5,5,5,5,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9003,48,1866,2,2,2,2,5,4,5,4,4,4,4,5,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9005,52,2586,2,2,2,2,2,5,5,5,5,5,5,3,5,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9008,23,1013,5,5,5,5,4,4,4,4,2,5,2,4,2,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9009,27,544,4,4,4,5,2,4,2,2,4,5,5,5,5,2,0,0.0,0,1,0,1,1,0,1,0,0,0,1
9015,40,347,4,4,4,4,4,4,4,4,4,5,2,3,1,4,0,0.0,1,0,1,0,1,0,0,0,1,0,1
9017,41,516,2,4,2,5,4,2,4,4,5,2,4,4,3,4,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9020,31,589,3,4,4,4,3,3,3,3,4,1,4,2,4,3,0,0.0,0,1,1,0,1,0,1,0,0,1,0
9021,18,331,4,3,4,2,4,4,4,4,3,4,5,3,3,4,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9025,23,602,5,0,5,2,2,5,1,2,3,3,4,4,4,2,0,0.0,1,0,0,1,1,0,1,0,0,0,1
9028,46,2031,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9031,31,1946,1,1,3,1,5,5,5,5,3,3,4,3,4,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9034,25,541,5,1,1,1,5,5,4,5,3,2,1,2,4,5,0,0.0,1,0,1,0,1,0,0,1,0,0,1
9038,54,461,3,5,5,5,3,3,3,3,3,5,2,2,5,3,0,0.0,0,1,1,0,1,0,0,1,0,0,1
9039,55,767,2,2,2,1,1,2,5,1,3,1,1,3,3,1,0,0.0,1,0,0,1,1,0,0,1,0,1,0
9040,65,479,2,4,2,4,3,4,4,4,4,2,4,2,4,1,0,0.0,1,0,1,0,0,1,0,1,0,1,0
9045,46,627,3,5,3,1,2,3,2,2,5,4,4,5,5,2,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9046,54,2813,4,1,1,1,2,3,3,2,2,2,4,3,2,3,0,0.0,0,1,1,0,1,0,1,0,0,1,0
9049,60,413,3,3,3,3,3,4,3,3,3,3,3,4,3,2,0,0.0,1,0,1,0,1,0,0,0,1,1,0
9050,69,2454,3,5,3,3,4,3,4,4,5,3,3,4,5,4,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9054,20,1590,3,4,4,4,3,3,3,3,4,2,3,4,3,3,0,0.0,1,0,1,0,1,0,1,0,0,1,0
9058,36,365,1,4,1,4,4,1,3,4,5,3,5,5,4,4,0,0.0,1,0,1,0,0,1,0,1,0,1,0
9064,65,989,1,4,1,4,5,5,4,2,2,1,5,4,2,4,0,0.0,1,0,1,0,0,1,0,1,0,1,0
9066,31,1524,1,4,1,2,5,1,5,5,3,4,5,3,4,5,0,0.0,0,1,1,0,0,1,0,0,1,1,0
9067,22,1013,0,0,0,2,3,0,2,3,4,3,5,4,4,3,0,0.0,0,1,0,1,1,0,1,0,0,0,1
9068,52,1050,3,3,3,3,2,4,5,2,2,2,2,4,2,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9073,42,689,1,0,0,2,1,1,5,1,5,5,5,5,5,1,0,0.0,0,1,0,1,1,0,1,0,0,1,0
9074,19,1671,2,3,2,4,5,2,5,5,2,1,4,3,4,5,0,0.0,1,0,1,0,0,1,0,1,0,1,0
9075,13,414,4,5,4,1,1,4,1,1,5,5,1,4,2,1,0,0.0,0,1,1,0,0,1,1,0,0,1,0
9077,40,125,0,5,0,4,2,1,4,4,4,3,3,2,4,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9078,37,821,3,3,3,2,5,3,4,5,3,2,4,3,4,5,0,0.0,1,0,0,1,1,0,1,0,0,1,0
9081,52,447,0,5,0,1,4,0,4,4,4,3,5,5,4,4,0,0.0,0,1,1,0,0,1,0,0,1,0,1
9082,43,1222,3,2,2,2,2,2,3,3,3,3,3,2,3,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0
9083,48,282,4,1,4,4,5,4,5,5,4,2,3,2,3,5,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9084,28,591,2,2,2,3,1,2,1,1,4,2,4,4,4,1,0,0.0,0,1,1,0,0,1,0,0,1,1,0
9085,35,1504,5,5,5,5,2,4,4,5,5,5,5,5,5,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9086,48,3337,1,1,1,1,4,5,4,4,4,4,4,3,4,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9088,56,1187,3,4,3,3,5,3,5,5,2,5,3,4,4,5,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9091,33,1009,4,4,4,1,1,4,1,1,4,3,5,3,5,1,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9092,31,2469,1,1,4,1,5,5,5,5,5,2,4,5,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9094,58,247,3,5,3,3,5,5,4,5,5,3,5,3,5,4,0,0.0,0,1,1,0,0,1,1,0,0,1,0
9096,60,1041,5,5,5,3,3,5,3,3,5,2,5,3,5,3,0,0.0,0,1,1,0,0,1,0,1,0,0,1
9098,18,247,2,4,2,4,5,2,5,5,4,5,4,4,5,5,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9099,36,1885,4,3,3,3,2,2,3,4,4,4,4,3,4,3,0,0.0,0,1,1,0,1,0,1,0,0,1,0
9103,15,737,4,4,4,3,3,4,3,3,3,2,5,5,5,3,0,0.0,1,0,0,1,1,0,0,1,0,0,1
9111,15,1990,1,1,1,3,3,1,3,3,4,4,4,4,4,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
9125,36,1635,4,4,4,3,4,4,4,4,3,5,4,5,4,4,0,0.0,1,0,0,1,1,0,1,0,0,1,0
9126,30,461,0,0,0,3,5,0,5,5,4,2,3,2,2,5,0,0.0,1,0,1,0,1,0,0,0,1,0,1
9131,47,1166,4,5,4,5,4,4,4,4,5,3,3,5,5,4,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9134,21,1390,1,1,1,3,2,1,4,2,4,2,3,2,3,2,0,0.0,0,1,0,1,1,0,0,1,0,1,0
9135,45,190,4,4,5,4,5,4,5,4,4,4,5,5,4,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9138,45,859,1,5,1,4,4,5,5,2,2,1,2,3,2,4,0,0.0,1,0,1,0,0,1,0,1,0,1,0
9139,70,2176,3,1,1,1,5,2,4,3,3,3,3,4,3,4,0,0.0,0,1,1,0,1,0,1,0,0,1,0
9140,34,2402,0,0,0,4,2,0,2,2,3,2,5,2,5,2,0,0.0,1,0,1,0,0,1,0,1,0,0,1
9144,38,170,5,3,3,3,5,5,5,5,2,3,2,4,5,5,0,0.0,0,1,1,0,1,0,0,1,0,0,1
9146,22,1587,1,1,5,1,4,4,4,4,5,3,3,3,4,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9148,50,826,4,3,5,3,3,2,2,4,4,4,4,5,4,5,0,0.0,1,0,1,0,1,0,0,1,0,0,1
9149,49,3433,4,2,4,4,3,4,4,5,5,5,5,3,5,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9151,69,290,2,2,3,2,1,4,2,4,4,4,4,5,4,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9156,50,502,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9159,36,1506,2,4,4,4,3,3,4,2,2,2,2,3,2,1,0,0.0,0,1,1,0,1,0,1,0,0,1,0
9160,47,516,3,3,3,3,2,5,5,3,3,4,3,3,3,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9163,48,2664,1,1,1,1,3,5,4,2,2,2,2,3,2,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9164,32,763,5,2,2,2,5,5,5,5,3,2,1,2,1,5,0,0.0,1,0,1,0,1,0,0,0,1,0,1
9172,56,2615,5,5,5,5,4,4,4,4,4,5,5,4,3,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9174,44,2992,1,1,1,1,5,4,4,4,4,4,4,3,4,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9176,44,1048,2,2,2,2,3,4,4,2,2,2,2,3,2,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0
9179,54,1014,2,2,2,2,4,3,4,2,2,2,2,2,2,3,0,0.0,1,0,1,0,1,0,0,1,0,1,0
9180,30,247,5,5,5,5,4,4,4,4,3,1,2,4,2,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9187,41,717,5,5,5,5,3,5,4,4,4,4,4,3,4,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9188,47,2184,5,5,5,5,2,4,5,4,4,4,5,4,4,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9189,35,405,2,1,1,1,5,1,5,5,3,3,4,3,4,5,0,0.0,0,1,0,1,1,0,1,0,0,1,0
9190,45,273,4,4,4,4,4,5,4,5,5,5,5,4,5,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9202,28,406,2,2,2,2,5,2,5,5,4,2,4,5,4,5,0,0.0,0,1,0,1,1,0,1,0,0,1,0
9203,50,759,2,5,5,5,2,2,2,2,4,2,2,4,3,2,0,0.0,0,1,1,0,1,0,0,1,0,1,0
9205,53,2125,2,1,2,3,4,2,4,4,3,4,4,4,3,4,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9206,46,2736,3,3,3,3,5,4,4,5,5,5,5,5,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9209,58,602,5,4,5,4,3,4,5,2,2,5,2,4,2,5,0,0.0,1,0,1,0,0,1,0,1,0,0,1
9212,39,577,3,3,3,3,2,4,5,4,4,4,4,4,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9217,20,222,2,2,2,3,2,2,2,2,3,4,3,3,3,2,0,0.0,0,1,0,1,1,0,0,1,0,1,0
9221,62,1744,2,1,2,3,1,2,5,1,4,3,2,3,3,1,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9222,34,373,2,2,2,3,4,2,4,4,5,5,5,4,4,4,0,0.0,0,1,0,1,1,0,1,0,0,1,0
9227,43,1325,4,3,4,4,5,4,4,4,4,4,4,5,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9234,29,1481,5,5,5,5,4,4,4,4,4,4,4,3,5,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9235,39,2949,2,2,5,2,5,5,5,4,4,4,4,5,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9238,77,700,2,4,4,4,2,2,2,2,2,3,3,2,3,2,0,0.0,0,1,1,0,1,0,0,0,1,1,0
9244,54,258,1,1,1,1,5,5,5,5,5,5,5,3,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
9248,57,432,4,3,3,3,5,3,4,4,4,4,4,3,4,3,0,0.0,0,1,1,0,1,0,1,0,0,1,0
9249,49,288,2,1,1,1,1,3,3,2,2,2,2,3,2,1,0,0.0,1,0,1,0,1,0,0,0,1,1,0
9254,64,682,1,4,1,3,3,5,4,2,2,1,2,3,2,4,0,0.0,1,0,1,0,0,1,0,0,1,1,0
9263,40,2402,3,3,3,3,3,4,4,4,4,4,4,4,4,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9266,31,2279,2,4,1,2,4,1,4,4,3,5,5,4,5,4,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9268,9,306,2,4,2,3,1,2,4,1,3,2,3,4,4,1,0,0.0,1,0,1,0,0,1,0,0,1,1,0
9274,51,3131,2,2,2,2,3,5,5,4,4,4,4,3,4,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9276,38,657,2,4,2,4,2,2,4,2,3,5,3,4,3,2,0,0.0,0,1,1,0,0,1,0,0,1,1,0
9277,64,383,3,3,3,2,2,3,2,2,4,5,5,5,5,2,0,0.0,0,1,0,1,1,0,1,0,0,1,0
9278,47,1705,2,2,2,2,4,3,5,5,5,5,5,3,5,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9282,39,3093,2,4,2,2,3,2,3,5,5,5,5,3,5,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
9284,37,1034,2,5,2,5,1,2,1,1,3,4,5,3,4,1,0,0.0,0,1,1,0,0,1,0,1,0,1,0
9286,63,447,3,4,3,5,3,4,5,5,5,3,3,4,5,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
